        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
12.9999 eV    2.328E+00  2.984E+01       5 A         3 A         3 A   
13.9999 eV    2.415E+00  3.120E+01       5 A         4 A         3 A   
14.9999 eV    2.500E+00  3.250E+01       5 A         4 A         3 A   
15.9999 eV    2.582E+00  3.377E+01       5 A         4 A         3 A   
16.9999 eV    2.662E+00  3.500E+01       6 A         4 A         3 A   
17.9999 eV    2.739E+00  3.620E+01       6 A         4 A         3 A   
19.9999 eV    2.887E+00  3.850E+01       6 A         4 A         3 A   
22.4999 eV    3.062E+00  4.123E+01       6 A         4 A         3 A   
24.9999 eV    3.228E+00  4.381E+01       7 A         5 A         3 A   
27.4999 eV    3.385E+00  4.627E+01       7 A         5 A         3 A   
29.9999 eV    3.536E+00  4.862E+01       7 A         5 A         4 A   
32.4999 eV    3.680E+00  5.087E+01       7 A         5 A         4 A   
34.9999 eV    3.819E+00  5.303E+01       7 A         5 A         4 A   
37.4999 eV    3.953E+00  5.512E+01       8 A         5 A         4 A   
39.9999 eV    4.083E+00  5.714E+01       8 A         6 A         4 A   
44.9999 eV    4.330E+00  6.098E+01       8 A         6 A         4 A   
49.9999 eV    4.565E+00  6.460E+01       9 A         6 A         4 A   
54.9999 eV    4.787E+00  6.802E+01       9 A         6 A         5 A   
59.9999 eV    5.000E+00  7.129E+01       9 A         7 A         5 A   
64.9999 eV    5.205E+00  7.440E+01      10 A         7 A         5 A   
69.9999 eV    5.401E+00  7.738E+01      10 A         7 A         5 A   
79.9999 eV    5.774E+00  8.301E+01      11 A         7 A         5 A   
89.9999 eV    6.124E+00  8.824E+01      11 A         8 A         6 A   
99.9999 eV    6.455E+00  9.314E+01      12 A         8 A         6 A   
    110 eV    6.770E+00  9.775E+01      12 A         8 A         6 A   
    120 eV    7.072E+00  1.021E+02      13 A         9 A         6 A   
    130 eV    7.360E+00  1.063E+02      13 A         9 A         7 A   
139.999 eV    7.638E+00  1.102E+02      14 A         9 A         7 A   
149.999 eV    7.906E+00  1.140E+02      14 A        10 A         7 A   
159.999 eV    8.166E+00  1.176E+02      15 A        10 A         7 A   
169.999 eV    8.417E+00  1.211E+02      15 A        10 A         7 A   
179.999 eV    8.661E+00  1.245E+02      15 A        10 A         7 A   
199.999 eV    9.129E+00  1.308E+02      16 A        11 A         8 A   
224.999 eV    9.683E+00  1.382E+02      17 A        11 A         8 A   
249.999 eV    1.021E+01  1.451E+02      18 A        12 A         9 A   
274.999 eV    1.071E+01  1.514E+02      19 A        13 A         9 A   
299.999 eV    1.118E+01  1.574E+02      20 A        13 A         9 A   
324.999 eV    1.164E+01  1.631E+02      21 A        14 A        10 A   
349.999 eV    1.208E+01  1.684E+02      21 A        14 A        10 A   
374.999 eV    1.250E+01  1.735E+02      22 A        14 A        10 A   
399.999 eV    1.291E+01  1.783E+02      23 A        15 A        11 A   
449.999 eV    1.369E+01  1.873E+02      24 A        16 A        11 A   
499.999 eV    1.443E+01  1.955E+02      26 A        17 A        12 A   
549.999 eV    1.514E+01  2.032E+02      27 A        17 A        12 A   
599.999 eV    1.581E+01  2.103E+02      29 A        18 A        13 A   
649.999 eV    1.646E+01  2.169E+02      30 A        19 A        13 A   
699.999 eV    1.708E+01  2.231E+02      31 A        19 A        14 A   
799.999 eV    1.826E+01  2.345E+02      33 A        21 A        15 A   
899.999 eV    1.937E+01  2.448E+02      36 A        22 A        16 A   
999.999 eV    2.041E+01  2.541E+02      38 A        23 A        17 A   
   1.10 keV   2.141E+01  2.626E+02      40 A        24 A        17 A   
   1.20 keV   2.236E+01  2.704E+02      42 A        25 A        18 A   
   1.30 keV   2.328E+01  2.776E+02      44 A        26 A        19 A   
   1.40 keV   2.415E+01  2.843E+02      46 A        27 A        20 A   
   1.50 keV   2.500E+01  2.906E+02      48 A        28 A        20 A   
   1.60 keV   2.582E+01  2.964E+02      50 A        29 A        21 A   
   1.70 keV   2.662E+01  3.020E+02      52 A        30 A        22 A   
   1.80 keV   2.739E+01  3.072E+02      54 A        31 A        23 A   
   2.00 keV   2.887E+01  3.167E+02      58 A        33 A        24 A   
   2.25 keV   3.062E+01  3.273E+02      62 A        35 A        26 A   
   2.50 keV   3.228E+01  3.368E+02      67 A        37 A        27 A   
   2.75 keV   3.385E+01  3.452E+02      71 A        39 A        29 A   
   3.00 keV   3.536E+01  3.528E+02      75 A        41 A        30 A   
   3.25 keV   3.680E+01  3.596E+02      79 A        43 A        32 A   
   3.50 keV   3.819E+01  3.659E+02      84 A        45 A        33 A   
   3.75 keV   3.953E+01  3.716E+02      88 A        47 A        34 A   
   4.00 keV   4.083E+01  3.769E+02      92 A        49 A        36 A   
   4.50 keV   4.330E+01  3.863E+02      99 A        53 A        38 A   
   5.00 keV   4.565E+01  3.943E+02     107 A        56 A        41 A   
   5.50 keV   4.787E+01  4.013E+02     115 A        60 A        44 A   
   6.00 keV   5.000E+01  4.074E+02     122 A        63 A        46 A   
   6.50 keV   5.205E+01  4.128E+02     129 A        66 A        48 A   
   7.00 keV   5.401E+01  4.175E+02     137 A        69 A        51 A   
   8.00 keV   5.774E+01  4.254E+02     151 A        76 A        55 A   
   9.00 keV   6.124E+01  4.317E+02     165 A        82 A        60 A   
  10.00 keV   6.455E+01  4.368E+02     179 A        88 A        64 A   
  11.00 keV   6.771E+01  4.408E+02     193 A        94 A        68 A   
  12.00 keV   7.072E+01  4.440E+02     207 A       100 A        73 A   
  13.00 keV   7.360E+01  4.466E+02     221 A       106 A        77 A   
  14.00 keV   7.638E+01  4.486E+02     234 A       111 A        81 A   
  15.00 keV   7.906E+01  4.501E+02     248 A       117 A        85 A   
  16.00 keV   8.166E+01  4.513E+02     261 A       122 A        89 A   
  17.00 keV   8.417E+01  4.521E+02     275 A       128 A        93 A   
  18.00 keV   8.661E+01  4.526E+02     288 A       133 A        96 A   
  20.00 keV   9.129E+01  4.529E+02     315 A       144 A       104 A   
  22.50 keV   9.683E+01  4.523E+02     349 A       158 A       114 A   
  25.00 keV   1.021E+02  4.508E+02     382 A       171 A       123 A   
  27.50 keV   1.071E+02  4.488E+02     416 A       184 A       132 A   
  30.00 keV   1.118E+02  4.462E+02     449 A       197 A       141 A   
  32.50 keV   1.164E+02  4.434E+02     483 A       210 A       150 A   
  35.00 keV   1.208E+02  4.403E+02     517 A       222 A       158 A   
  37.50 keV   1.250E+02  4.370E+02     550 A       235 A       167 A   
  40.00 keV   1.291E+02  4.336E+02     584 A       247 A       176 A   
  45.00 keV   1.369E+02  4.266E+02     652 A       272 A       193 A   
  50.00 keV   1.444E+02  4.194E+02     721 A       296 A       210 A   
  55.00 keV   1.514E+02  4.123E+02     790 A       321 A       227 A   
  60.00 keV   1.581E+02  4.052E+02     860 A       344 A       244 A   
  65.00 keV   1.646E+02  3.983E+02     930 A       368 A       261 A   
  70.00 keV   1.711E+02  3.915E+02    1000 A       391 A       278 A   
  80.00 keV   2.106E+02  3.786E+02    1138 A       435 A       312 A   
  90.00 keV   2.295E+02  3.664E+02    1274 A       476 A       345 A   
 100.00 keV   2.378E+02  3.550E+02    1410 A       516 A       377 A   
 110.00 keV   2.409E+02  3.444E+02    1548 A       556 A       409 A   
 120.00 keV   2.421E+02  3.344E+02    1690 A       596 A       440 A   
 130.00 keV   2.427E+02  3.251E+02    1835 A       637 A       471 A   
 140.00 keV   2.435E+02  3.164E+02    1983 A       678 A       502 A   
 150.00 keV   2.447E+02  3.081E+02    2133 A       719 A       533 A   
 160.00 keV   2.466E+02  3.004E+02    2286 A       760 A       564 A   
 170.00 keV   2.490E+02  2.931E+02    2441 A       801 A       595 A   
 180.00 keV   2.520E+02  2.862E+02    2598 A       842 A       626 A   
 200.00 keV   2.593E+02  2.735E+02    2915 A       922 A       690 A   
 225.00 keV   2.707E+02  2.594E+02    3318 A      1020 A       771 A   
 250.00 keV   2.839E+02  2.469E+02    3724 A      1115 A       852 A   
 275.00 keV   2.985E+02  2.357E+02    4130 A      1205 A       934 A   
 300.00 keV   3.141E+02  2.257E+02    4535 A      1292 A      1014 A   
 325.00 keV   3.304E+02  2.166E+02    4936 A      1374 A      1094 A   
 350.00 keV   3.474E+02  2.084E+02    5334 A      1452 A      1173 A   
 375.00 keV   3.647E+02  2.008E+02    5726 A      1526 A      1250 A   
 400.00 keV   3.824E+02  1.939E+02    6113 A      1597 A      1325 A   
 450.00 keV   4.182E+02  1.816E+02    6869 A      1727 A      1469 A   
 500.00 keV   4.541E+02  1.709E+02    7599 A      1845 A      1606 A   
 550.00 keV   4.896E+02  1.617E+02    8305 A      1950 A      1733 A   
 600.00 keV   5.244E+02  1.535E+02    8986 A      2046 A      1853 A   
 650.00 keV   5.582E+02  1.462E+02    9644 A      2133 A      1965 A   
 700.00 keV   5.909E+02  1.397E+02    1.03 um     2212 A      2070 A   
 800.00 keV   6.525E+02  1.285E+02    1.15 um     2354 A      2261 A   
 900.00 keV   7.091E+02  1.192E+02    1.27 um     2476 A      2432 A   
   1.00 MeV   7.613E+02  1.113E+02    1.38 um     2581 A      2585 A   
   1.10 MeV   8.103E+02  1.045E+02    1.48 um     2674 A      2724 A   
   1.20 MeV   8.573E+02  9.855E+01    1.58 um     2757 A      2850 A   
   1.30 MeV   9.033E+02  9.335E+01    1.68 um     2830 A      2966 A   
   1.40 MeV   9.491E+02  8.874E+01    1.77 um     2897 A      3073 A   
   1.50 MeV   9.950E+02  8.461E+01    1.86 um     2956 A      3171 A   
   1.60 MeV   1.041E+03  8.090E+01    1.95 um     3011 A      3262 A   
   1.70 MeV   1.088E+03  7.754E+01    2.03 um     3060 A      3347 A   
   1.80 MeV   1.136E+03  7.447E+01    2.11 um     3105 A      3425 A   
   2.00 MeV   1.231E+03  6.910E+01    2.27 um     3186 A      3567 A   
   2.25 MeV   1.352E+03  6.348E+01    2.45 um     3272 A      3719 A   
   2.50 MeV   1.472E+03  5.880E+01    2.61 um     3343 A      3849 A   
   2.75 MeV   1.590E+03  5.483E+01    2.76 um     3402 A      3961 A   
   3.00 MeV   1.705E+03  5.141E+01    2.91 um     3451 A      4059 A   
   3.25 MeV   1.817E+03  4.843E+01    3.04 um     3494 A      4146 A   
   3.50 MeV   1.925E+03  4.582E+01    3.17 um     3531 A      4223 A   
   3.75 MeV   2.029E+03  4.349E+01    3.29 um     3563 A      4292 A   
   4.00 MeV   2.129E+03  4.142E+01    3.41 um     3592 A      4354 A   
   4.50 MeV   2.315E+03  3.786E+01    3.63 um     3647 A      4462 A   
   5.00 MeV   2.484E+03  3.492E+01    3.83 um     3692 A      4553 A   
   5.50 MeV   2.637E+03  3.244E+01    4.02 um     3730 A      4631 A   
   6.00 MeV   2.777E+03  3.031E+01    4.20 um     3763 A      4699 A   
   6.50 MeV   2.903E+03  2.847E+01    4.37 um     3792 A      4760 A   
   7.00 MeV   3.017E+03  2.686E+01    4.54 um     3818 A      4814 A   
   8.00 MeV   3.215E+03  2.417E+01    4.85 um     3875 A      4909 A   
   9.00 MeV   3.378E+03  2.201E+01    5.15 um     3924 A      4988 A   
  10.00 MeV   3.512E+03  2.023E+01    5.44 um     3967 A      5057 A   
